gen, job, popSize, fitness, averageF1, averagePrecision, averageRecall, query
999, 1, 512, 2015.720, 0.493, 0.906, 0.364, Job: 1 ClusterQuery 0: 36 spanFirst(nhl, 100) spanFirst(nhl, 79) ## ClusterQuery 1: 63 spanFirst(windows, 100) spanFirst(windows, 97) ## ClusterQuery 2: 32 spanFirst(last, 82) spanFirst(last, 85) ## ClusterQuery 3: 56 spanFirst(sale, 87) spanFirst(sale, 100) ## ClusterQuery 4: 11 spanFirst(orbit, 93) spanFirst(orbit, 88) ## 
999, 2, 512, 2009.873, 0.506, 0.896, 0.372, Job: 2 ClusterQuery 0: 31 spanFirst(station, 90) spanFirst(jesus, 94) ## ClusterQuery 1: 63 spanFirst(windows, 91) spanFirst(windows, 99) ## ClusterQuery 2: 56 spanFirst(sale, 81) spanFirst(sale, 72) ## ClusterQuery 3: 36 spanFirst(nhl, 85) spanFirst(nhl, 97) ## ClusterQuery 4: 17 spanFirst(christians, 48) spanFirst(christians, 71) ## 
1499, 0, 640, 1663.057, 0.273, 0.625, 0.258, Job: 0 ClusterQuery 0: 3 spanFirst(years, 20) spanFirst(things, 20) spanFirst(year, 10) spanFirst(play, 50) ## ClusterQuery 1: 164 spanFirst(windows, 50) spanFirst(again, 1000) spanFirst(mail, 1000) spanFirst(send, 1000) ## ClusterQuery 2: 57 spanFirst(file, 10) spanFirst(team, 100) spanFirst(world, 10) spanFirst(god, 100) ## ClusterQuery 3: 3 spanFirst(book, 20) spanFirst(find, 10) spanFirst(technology, 10) spanFirst(first, 10) ## ClusterQuery 4: 62 spanFirst(research, 20) spanFirst(access, 100) spanFirst(power, 100) spanFirst(orbit, 100) ## 
1499, 0, 640, 2187.000, 0.710, 0.901, 0.592, Job: 0 ClusterQuery 0: 78 spanFirst(windows, 2000) spanFirst(file, 100) ## ClusterQuery 1: 76 spanFirst(nhl, 2000) spanFirst(players, 400) spanFirst(hockey, 2000) ## ClusterQuery 2: 49 spanFirst(shuttle, 2000) spanFirst(orbit, 2000) spanFirst(center, 100) ## ClusterQuery 3: 64 spanFirst(sale, 50) spanFirst(please, 50) ## ClusterQuery 4: 59 spanFirst(christ, 2000) spanFirst(high, 50) spanFirst(christians, 2000) ## 
999, 0, 512, 962.691, 0.459, 0.674, 0.370, Job: 0 ClusterQuery 0: 26 driver ## ClusterQuery 1: 50 servic ## ClusterQuery 2: 88 nhl team player european ## ClusterQuery 3: 62 sin god ## ClusterQuery 4: 38 engin ## 
999, 0, 512, 2202.776, 0.743, 0.966, 0.618, Job: 0 ClusterQuery 0: 77 jesus christ god ## ClusterQuery 1: 70 windows ## ClusterQuery 2: 76 nhl hockey players ## ClusterQuery 3: 60 sale ## ClusterQuery 4: 38 orbit mars ## 
9, 0, 512, 26.419, 0.396, 0.431, 0.392, Job: 0 ClusterQuery 0: 148 windows data sale ## ClusterQuery 1: 54 give ## ClusterQuery 2: 89 orbit going ## ClusterQuery 3: 105 mission christians best ## ClusterQuery 4: 56 station technology ## 
9, 0, 512, 29.925, 0.463, 0.544, 0.436, Job: 0 ClusterQuery 0: 62 engin driver ## ClusterQuery 1: 142 god true peopl ## ClusterQuery 2: 78 european game ## ClusterQuery 3: 40 center shuttl ## ClusterQuery 4: 96 program softwar ## 
9, 1, 512, 57.224, 0.371, 0.583, 0.298, Job: 1 ClusterQuery 0: 22 american ## ClusterQuery 1: 43 technolog ## ClusterQuery 2: 104 sale file ## ClusterQuery 3: 41 lunar driver ## ClusterQuery 4: 51 period flight ## 
9, 2, 512, 29.436, 0.333, 0.391, 0.312, Job: 2 ClusterQuery 0: 80 befor american ## ClusterQuery 1: 115 made access data ## ClusterQuery 2: 118 offer believ ## ClusterQuery 3: 41 lunar driver ## ClusterQuery 4: 61 list sin ## 
